Loc,count,Latitude,Longitude
United States,1118,37.09024,-95.712891
New Zealand,26,-40.900557,174.885971
Canada,174,56.130366,-106.346771
France,168,46.227638,2.213749
United Kingdom,124,55.378051,-3.435973
Ecuador,51,-1.831239,-78.183406
Belgium,60,50.503887,4.469936
Italy,72,41.87194,12.56738
Dominican Republic,11,18.735693,-70.162651
Switzerland,44,46.818188,8.227512
Costa Rica,9,9.748917,-83.753428
Venezuela,31,6.42375,-66.58973
South Korea,8,35.907757,127.766922
Australia,51,-25.274398,133.775136
Colombia,28,4.570868,-74.297333
Denmark,31,56.26392,9.501785
São Tomé and Príncipe,7,0.18636,6.613081
Austria,30,47.516231,14.550072
Spain,35,40.463667,-3.74922
Hungary,26,47.162494,19.503304
São Tomé and Príncipe,4,0.18636,6.613081
Germany,39,51.165691,10.451526
Peru,20,-9.189967,-75.015152
Brazil,24,-14.235004,-51.92528
Japan,26,36.204824,138.252924
Puerto Rico,4,18.220833,-66.590149
South Africa,4,-30.559482,22.937506
Madagascar,13,-18.766947,46.869107
Vietnam,16,14.058324,108.277199
Singapore,15,1.352083,103.819836
Nicaragua,10,12.865416,-85.207229
Guatemala,10,15.783471,-90.230759
Amsterdam,12,52.3675734,4.9041389
Czech Republic,3,49.817492,15.472962
Saint Lucia,3,13.909444,-60.978893
El Salvador,3,13.794185,-88.89653
Taiwan,10,23.69781,120.960515
Lithuania,8,55.169438,23.881275
United Kingdom,11,55.378051,-3.435973
Israel,9,31.046051,34.851612
Honduras,6,15.199999,-86.241905
Mexico,10,23.634501,-102.552784
Netherlands,8,52.132633,5.291266
Vanuatu,4,-15.376706,166.959158
Poland,7,51.919438,19.145136
Philippines,5,12.879721,121.774017
Fiji,4,-17.713371,178.065032
Thailand,5,15.870032,100.992541
Sweden,6,60.128161,18.643501
Iceland,4,64.963051,-19.020835
